Timestamp_ms,CPU_Usage,Memory_MB
1738864921362,0.0,1.62
1738864921368,0.0,1.62
1738864921373,0.0,1.62
1738864921379,0.0,1.62
1738864921384,0.0,1.62
1738864921390,0.0,1.62
1738864921395,0.0,1.62
1738864921401,0.0,1.62
1738864921407,0.0,1.62
1738864921412,0.0,1.62
1738864921418,0.0,1.62
1738864921423,0.0,1.62
1738864921429,0.0,1.62
1738864921434,0.0,1.62
1738864921440,0.0,1.62
1738864921446,0.0,1.62
1738864921451,0.0,1.62
1738864921456,0.0,1.62
1738864921462,0.0,1.62
1738864921467,0.0,1.62
1738864921472,0.0,1.62
1738864921477,0.0,1.62
1738864921482,0.0,1.62
1738864921487,0.0,1.62
1738864921493,0.0,1.62
1738864921498,0.0,1.62
1738864921503,0.0,1.62
1738864921508,0.0,1.62
1738864921513,0.0,1.62
1738864921519,0.0,1.62
1738864921524,0.0,1.62
1738864921529,0.0,1.62
1738864921534,0.0,1.62
1738864921539,0.0,1.62
1738864921544,0.0,1.62
1738864921550,0.0,1.62
1738864921555,0.0,1.62
1738864921560,0.0,1.62
1738864921565,0.0,1.62
1738864921570,0.0,1.62
1738864921576,0.0,1.62
1738864921581,0.0,1.62
1738864921586,0.0,1.62
1738864921591,0.0,1.62
1738864921596,0.0,1.62
1738864921601,0.0,1.62
1738864921606,0.0,1.62
1738864921612,0.0,1.62
1738864921617,0.0,1.62
1738864921622,0.0,1.62
1738864921627,0.0,1.62
1738864921633,0.0,1.62
1738864921638,0.0,1.62
1738864921644,0.0,1.62
1738864921650,0.0,1.62
1738864921655,0.0,1.62
1738864921661,0.0,1.62
1738864921667,0.0,1.62
1738864921672,0.0,1.62
1738864921677,0.0,1.62
1738864921683,0.0,1.62
1738864921688,0.0,1.62
1738864921693,0.0,1.62
1738864921698,0.0,1.62
1738864921703,0.0,1.62
1738864921709,0.0,1.62
1738864921714,0.0,1.62
1738864921719,0.0,1.62
1738864921724,0.0,1.62
1738864921730,0.0,1.62
1738864921735,0.0,1.62
1738864921740,0.0,1.62
1738864921746,0.0,1.62
1738864921751,0.0,1.62
1738864921757,0.0,1.62
1738864921763,0.0,1.62
1738864921769,0.0,1.62
1738864921774,0.0,1.62
1738864921780,0.0,1.62
1738864921785,0.0,1.62
1738864921791,0.0,1.62
1738864921797,0.0,1.62
1738864921802,0.0,1.62
